form_key,form_id,form_version,form_label,type,record_urn,dataelement_urn,source_id,mandatory,repeatable,position,resolution_status
224_2_ACLF evaluation,224,2,ACLF evaluation,dataelement,,urn:osse-11:dataelement:91:1,X_224_0_91,False,False,12,direct_resolved
225_1_Patient’s information and Medical history,225,1,Patient’s information and Medical history,dataelement,,urn:osse-11:dataelement:55:1,X_225_0_55,True,False,1,direct_resolved
225_1_Patient’s information and Medical history,225,1,Patient’s information and Medical history,dataelement,,urn:osse-11:dataelement:92:1,X_225_0_92,True,False,2,direct_resolved
225_1_Patient’s information and Medical history,225,1,Patient’s information and Medical history,dataelement,,urn:osse-11:dataelement:104:1,X_225_0_104,True,False,5,direct_resolved
225_1_Patient’s information and Medical history,225,1,Patient’s information and Medical history,dataelement,,urn:osse-11:dataelement:105:1,X_225_0_105,True,False,6,direct_resolved
226_1_Clinical course,226,1,Clinical course,dataelement,,urn:osse-11:dataelement:112:1,X_226_0_112,True,False,1,direct_resolved
226_1_Clinical course,226,1,Clinical course,dataelement,,urn:osse-11:dataelement:113:1,X_226_0_113,False,False,4,direct_resolved
226_1_Clinical course,226,1,Clinical course,dataelement,,urn:osse-11:dataelement:130:1,X_226_0_130,False,False,10,direct_resolved
226_1_Clinical course,226,1,Clinical course,dataelement,,urn:osse-11:dataelement:131:1,X_226_0_131,False,False,11,direct_resolved
226_1_Clinical course,226,1,Clinical course,dataelement,,urn:osse-11:dataelement:132:1,X_226_0_132,False,False,12,direct_resolved
226_1_Clinical course,226,1,Clinical course,dataelement,,urn:osse-11:dataelement:137:1,X_226_0_137,False,False,14,direct_resolved
226_2_Clinical course,226,2,Clinical course,dataelement,,urn:osse-11:dataelement:112:1,X_226_0_112,True,False,1,direct_resolved
226_2_Clinical course,226,2,Clinical course,dataelement,,urn:osse-11:dataelement:113:1,X_226_0_113,True,False,4,direct_resolved
226_2_Clinical course,226,2,Clinical course,dataelement,,urn:osse-11:dataelement:130:1,X_226_0_130,True,False,10,direct_resolved
226_2_Clinical course,226,2,Clinical course,dataelement,,urn:osse-11:dataelement:131:1,X_226_0_131,True,False,11,direct_resolved
226_2_Clinical course,226,2,Clinical course,dataelement,,urn:osse-11:dataelement:132:1,X_226_0_132,True,False,12,direct_resolved
226_2_Clinical course,226,2,Clinical course,dataelement,,urn:osse-11:dataelement:137:1,X_226_0_137,False,False,14,direct_resolved
227_1_Previous treatments,227,1,Previous treatments,dataelement,,urn:osse-11:dataelement:112:1,X_227_0_112,True,False,1,direct_resolved
227_1_Previous treatments,227,1,Previous treatments,dataelement,,urn:osse-11:dataelement:158:1,X_227_0_158,True,False,8,direct_resolved
227_1_Previous treatments,227,1,Previous treatments,dataelement,,urn:osse-11:dataelement:159:1,X_227_0_159,False,False,9,direct_resolved
227_1_Previous treatments,227,1,Previous treatments,dataelement,,urn:osse-11:dataelement:162:1,X_227_0_162,True,False,12,direct_resolved
227_1_Previous treatments,227,1,Previous treatments,dataelement,,urn:osse-11:dataelement:169:1,X_227_0_169,True,False,16,direct_resolved
227_1_Previous treatments,227,1,Previous treatments,dataelement,,urn:osse-11:dataelement:170:1,X_227_0_170,True,False,17,direct_resolved
227_1_Previous treatments,227,1,Previous treatments,dataelement,,urn:osse-11:dataelement:171:1,X_227_0_171,True,False,18,direct_resolved
227_1_Previous treatments,227,1,Previous treatments,dataelement,,urn:osse-11:dataelement:172:1,X_227_0_172,True,False,19,direct_resolved
227_1_Previous treatments,227,1,Previous treatments,dataelement,,urn:osse-11:dataelement:173:1,X_227_0_173,True,False,20,direct_resolved
227_1_Previous treatments,227,1,Previous treatments,dataelement,,urn:osse-11:dataelement:174:1,X_227_0_174,True,False,21,direct_resolved
227_1_Previous treatments,227,1,Previous treatments,dataelement,,urn:osse-11:dataelement:180:1,X_227_0_180,True,False,24,direct_resolved
227_1_Previous treatments,227,1,Previous treatments,dataelement,,urn:osse-11:dataelement:185:1,X_227_0_185,True,False,27,direct_resolved
227_1_Previous treatments,227,1,Previous treatments,dataelement,,urn:osse-11:dataelement:188:1,X_227_0_188,True,False,29,direct_resolved
227_1_Previous treatments,227,1,Previous treatments,dataelement,,urn:osse-11:dataelement:193:1,X_227_0_193,True,False,33,direct_resolved
227_1_Previous treatments,227,1,Previous treatments,dataelement,,urn:osse-11:dataelement:195:1,X_227_0_195,False,True,34,direct_resolved
227_1_Previous treatments,227,1,Previous treatments,dataelement,,urn:osse-11:dataelement:194:1,X_227_0_194,True,False,36,direct_resolved
227_1_Previous treatments,227,1,Previous treatments,dataelement,,urn:osse-11:dataelement:196:1,X_227_0_196,False,True,37,direct_resolved
227_2_Previous treatments,227,2,Previous treatments,dataelement,,urn:osse-11:dataelement:112:1,X_227_0_112,True,False,1,direct_resolved
227_2_Previous treatments,227,2,Previous treatments,dataelement,,urn:osse-11:dataelement:158:1,X_227_0_158,True,False,8,direct_resolved
227_2_Previous treatments,227,2,Previous treatments,dataelement,,urn:osse-11:dataelement:159:1,X_227_0_159,True,False,9,direct_resolved
227_2_Previous treatments,227,2,Previous treatments,dataelement,,urn:osse-11:dataelement:162:1,X_227_0_162,True,False,12,direct_resolved
227_2_Previous treatments,227,2,Previous treatments,dataelement,,urn:osse-11:dataelement:169:1,X_227_0_169,True,False,16,direct_resolved
227_2_Previous treatments,227,2,Previous treatments,dataelement,,urn:osse-11:dataelement:170:1,X_227_0_170,True,False,17,direct_resolved
227_2_Previous treatments,227,2,Previous treatments,dataelement,,urn:osse-11:dataelement:171:1,X_227_0_171,True,False,18,direct_resolved
227_2_Previous treatments,227,2,Previous treatments,dataelement,,urn:osse-11:dataelement:172:1,X_227_0_172,True,False,19,direct_resolved
227_2_Previous treatments,227,2,Previous treatments,dataelement,,urn:osse-11:dataelement:173:1,X_227_0_173,True,False,20,direct_resolved
227_2_Previous treatments,227,2,Previous treatments,dataelement,,urn:osse-11:dataelement:174:1,X_227_0_174,True,False,21,direct_resolved
227_2_Previous treatments,227,2,Previous treatments,dataelement,,urn:osse-11:dataelement:180:1,X_227_0_180,True,False,24,direct_resolved
227_2_Previous treatments,227,2,Previous treatments,dataelement,,urn:osse-11:dataelement:185:1,X_227_0_185,True,False,27,direct_resolved
227_2_Previous treatments,227,2,Previous treatments,dataelement,,urn:osse-11:dataelement:188:1,X_227_0_188,True,False,29,direct_resolved
227_2_Previous treatments,227,2,Previous treatments,dataelement,,urn:osse-11:dataelement:193:1,X_227_0_193,True,False,33,direct_resolved
227_2_Previous treatments,227,2,Previous treatments,dataelement,,urn:osse-11:dataelement:195:1,X_227_0_195,False,True,34,direct_resolved
227_2_Previous treatments,227,2,Previous treatments,dataelement,,urn:osse-11:dataelement:194:1,X_227_0_194,True,False,36,direct_resolved
227_2_Previous treatments,227,2,Previous treatments,dataelement,,urn:osse-11:dataelement:196:1,X_227_0_196,False,True,37,direct_resolved
228_1_Data at hospital admission/inclusion,228,1,Data at hospital admission/inclusion,dataelement,,urn:osse-11:dataelement:204:1,X_228_0_204,True,False,4,direct_resolved
228_1_Data at hospital admission/inclusion,228,1,Data at hospital admission/inclusion,dataelement,,urn:osse-11:dataelement:205:1,X_228_0_205,True,False,5,direct_resolved
228_1_Data at hospital admission/inclusion,228,1,Data at hospital admission/inclusion,dataelement,,urn:osse-11:dataelement:206:1,X_228_0_206,True,False,6,direct_resolved
