form_key;form_id;form_version;form_label;urn;type;element_label;mandatory;repeatable;position
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:255:1;dataelement;Control prothrombin time;False;False;16
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:256:1;dataelement;INR;False;False;17
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:357:1;dataelement;Quick (%);False;False;18
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:258:1;dataelement;ISI;False;False;19
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:347:1;dataelement;Albumin;False;False;21
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:260:1;dataelement;AST;False;False;22
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:375:1;dataelement;ALT;False;False;23
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:262:1;dataelement;Alkaline phosphatase;False;False;24
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:263:1;dataelement;GGT;False;False;25
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:264:1;dataelement;Total Bilirubin;False;False;26
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:265:1;dataelement;Creatinine;False;False;27
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:266:1;dataelement;Sodium;False;False;28
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:267:1;dataelement;Potassium;False;False;29
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:268:1;dataelement;Glucose;False;False;30
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:269:1;dataelement;Total cholesterol;False;False;31
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:270:1;dataelement;HDL-Cholesterol;False;False;32
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:271:1;dataelement;LDL-Cholesterol;False;False;33
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:272:1;dataelement;Triglycerides;False;False;34
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:273:1;dataelement;C-reactive protein (CRP);False;False;35
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:274:1;dataelement;Has urine analysis been performed?;False;False;37
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:275:1;dataelement;Date of Collection;False;False;38
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:276:1;dataelement;Leukocytes reagent strip result;False;False;40
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:277:1;dataelement;Urine Albumin;False;False;41
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:278:1;dataelement;Leukocytes per field;False;False;42
153_1_ACLF alpha;153;1;ACLF alpha;urn:osse-11:dataelement:2:1;dataelement;Male;True;False;1
153_2_ACLF alpha;153;2;ACLF alpha;urn:osse-11:dataelement:2:1;dataelement;Male;False;False;1
153_3_ACLF alpha;153;3;ACLF alpha;urn:osse-11:dataelement:2:1;dataelement;Male;True;False;1
153_5_ACLF alpha;153;5;ACLF alpha;urn:osse-11:dataelement:2:1;dataelement;Male;False;False;1
222_1_Screen visit;222;1;Screen visit;urn:osse-11:dataelement:42:1;dataelement;Center;True;False;1
222_1_Screen visit;222;1;Screen visit;urn:osse-11:dataelement:43:1;dataelement;Patient ID;True;False;2
222_1_Screen visit;222;1;Screen visit;urn:osse-11:dataelement:46:1;dataelement;Inclusion criteria;True;False;3
222_1_Screen visit;222;1;Screen visit;urn:osse-11:dataelement:45:1;dataelement;Exclusion criteria;False;False;4
222_1_Screen visit;222;1;Screen visit;urn:osse-11:record:15:1;record;Informed Consents;True;False;5
222_2_Screen visit;222;2;Screen visit;urn:osse-11:dataelement:42:1;dataelement;Center;True;False;1
222_2_Screen visit;222;2;Screen visit;urn:osse-11:dataelement:43:1;dataelement;Patient ID;True;False;2
222_2_Screen visit;222;2;Screen visit;urn:osse-11:dataelement:46:1;dataelement;Inclusion criteria;True;False;3
222_2_Screen visit;222;2;Screen visit;urn:osse-11:dataelement:45:1;dataelement;Exclusion criteria;False;False;4
222_2_Screen visit;222;2;Screen visit;urn:osse-11:record:15:1;record;Informed Consents;True;False;5
223_1_Biobank sample collection;223;1;Biobank sample collection;urn:osse-11:record:2:2;record;Blood sample collection information;False;False;1
223_1_Biobank sample collection;223;1;Biobank sample collection;urn:osse-11:record:3:1;record;Serum sample collection information;False;False;2
223_1_Biobank sample collection;223;1;Biobank sample collection;urn:osse-11:record:4:1;record;Plasma samples collection information;False;False;3
223_1_Biobank sample collection;223;1;Biobank sample collection;urn:osse-11:record:5:1;record;CPT tube collection information (PBMC);False;False;4
223_1_Biobank sample collection;223;1;Biobank sample collection;urn:osse-11:record:6:1;record;Tempus tube collection (Blood RNA) information;False;False;5
223_1_Biobank sample collection;223;1;Biobank sample collection;urn:osse-11:record:7:1;record;Urine sample collection information;False;False;6
223_1_Biobank sample collection;223;1;Biobank sample collection;urn:osse-11:record:8:1;record;Ascitic fluid sample collection information;False;False;7
223_1_Biobank sample collection;223;1;Biobank sample collection;urn:osse-11:record:9:1;record;Stool sample collection information;False;False;8
223_1_Biobank sample collection;223;1;Biobank sample collection;urn:osse-11:dataelement:8:1;dataelement;Status;False;False;9
222_3_Screen data;222;3;Screen data;urn:osse-11:dataelement:42:1;dataelement;Center;True;False;1
222_3_Screen data;222;3;Screen data;urn:osse-11:dataelement:43:1;dataelement;Patient ID;True;False;2
222_3_Screen data;222;3;Screen data;urn:osse-11:dataelement:46:1;dataelement;Inclusion criteria;True;False;3
222_3_Screen data;222;3;Screen data;urn:osse-11:dataelement:45:1;dataelement;Exclusion criteria;False;False;4
222_3_Screen data;222;3;Screen data;urn:osse-11:dataelement:47:1;dataelement;Informed consent signed:;True;False;6
222_3_Screen data;222;3;Screen data;urn:osse-11:dataelement:51:1;dataelement;Date of informed consent signature by surrogate:;True;False;7
222_3_Screen data;222;3;Screen data;urn:osse-11:dataelement:49:1;dataelement;Informed consent permission granted:;True;False;8
222_3_Screen data;222;3;Screen data;urn:osse-11:dataelement:50:1;dataelement;If Informed consent is signed by surrogate:;False;False;9
222_3_Screen data;222;3;Screen data;urn:osse-11:dataelement:52:1;dataelement;If by surrogate: Informed consent permission granted:;False;False;10
224_1_ACLF evaluation;224;1;ACLF evaluation;urn:osse-11:record:16:1;record;Liver failure;False;False;1
224_1_ACLF evaluation;224;1;ACLF evaluation;urn:osse-11:record:17:1;record;Renal failure;False;False;2
224_1_ACLF evaluation;224;1;ACLF evaluation;urn:osse-11:record:18:1;record;Coagulation failure;False;False;3
224_1_ACLF evaluation;224;1;ACLF evaluation;urn:osse-11:dataelement:62:1;dataelement;Cerebral failure;False;False;5
224_1_ACLF evaluation;224;1;ACLF evaluation;urn:osse-11:dataelement:63:1;dataelement;West Haven grade;False;False;6
