dataelement_id;dataelement_version;dataelement_urn;pv_value;pv_language;pv_designation;pv_definition;pv_selection
71;1;urn:osse-11:dataelement:71:1;No;en;No respiratory failure;No respiratory failure;SELECT_ONE_RADIO
74;1;urn:osse-11:dataelement:74:1;Yes;en;Had supplemental oxygen ;Had supplemental oxygen ;SELECT_ONE_RADIO
74;1;urn:osse-11:dataelement:74:1;No;en;No supplemental oxygen;No supplemental oxygen;SELECT_ONE_RADIO
76;1;urn:osse-11:dataelement:76:1;Delivery device;en;Delivery device;Delivery device;SELECT_MANY_CHECKBOX
76;1;urn:osse-11:dataelement:76:1;Mechanical ventilation;en;Mechanical ventilation;Mechanical ventilation;SELECT_MANY_CHECKBOX
77;1;urn:osse-11:dataelement:77:1;Nasal catheter;en;Nasal catheter;Nasal catheter;SELECT_MANY_CHECKBOX
77;1;urn:osse-11:dataelement:77:1;Simple oxygen mask;en;Simple oxygen mask;Simple oxygen mask;SELECT_MANY_CHECKBOX
77;1;urn:osse-11:dataelement:77:1;Monaghan mask (reservoir);en;Monaghan mask (reservoir);Monaghan mask (reservoir);SELECT_MANY_CHECKBOX
77;1;urn:osse-11:dataelement:77:1;Venturi mask;en;Venturi mask;Venturi mask;SELECT_MANY_CHECKBOX
77;1;urn:osse-11:dataelement:77:1;High-flow nasal cannula;en;High-flow nasal cannula;High-flow nasal cannula;SELECT_MANY_CHECKBOX
78;1;urn:osse-11:dataelement:78:1;1 (24%);en;1 (24%);1 (24%);SELECT_ONE_RADIO
78;1;urn:osse-11:dataelement:78:1;2 (28%);en;2 (28%);2 (28%);SELECT_ONE_RADIO
78;1;urn:osse-11:dataelement:78:1;3 (32%);en;3 (32%);3 (32%);SELECT_ONE_RADIO
78;1;urn:osse-11:dataelement:78:1;4 (36%);en;4 (36%);4 (36%);SELECT_ONE_RADIO
78;1;urn:osse-11:dataelement:78:1;5 (40%);en;5 (40%);5 (40%);SELECT_ONE_RADIO
78;1;urn:osse-11:dataelement:78:1;6 (44%);en;6 (44%);6 (44%);SELECT_ONE_RADIO
80;1;urn:osse-11:dataelement:80:1;<5 (40%);en;<5 (40%);<5 (40%);SELECT_ONE_RADIO
80;1;urn:osse-11:dataelement:80:1;5-7 (50%);en;5-7 (50%);5-7 (50%);SELECT_ONE_RADIO
80;1;urn:osse-11:dataelement:80:1;>7 (60%);en;>7 (60%);>7 (60%);SELECT_ONE_RADIO
81;1;urn:osse-11:dataelement:81:1;10 (60%);en;10 (60%);10 (60%);SELECT_ONE_RADIO
81;1;urn:osse-11:dataelement:81:1;15 (80%);en;15 (80%);15 (80%);SELECT_ONE_RADIO
81;1;urn:osse-11:dataelement:81:1;>15 (100%);en;>15 (100%);>15 (100%);SELECT_ONE_RADIO
82;1;urn:osse-11:dataelement:82:1;3 (25%);en;3 (25%);3 (25%);SELECT_ONE_RADIO
82;1;urn:osse-11:dataelement:82:1;4 (26%);en;4 (26%);4 (26%);SELECT_ONE_RADIO
82;1;urn:osse-11:dataelement:82:1;5 (28%);en;5 (28%);5 (28%);SELECT_ONE_RADIO
82;1;urn:osse-11:dataelement:82:1;7 (30%);en;7 (30%);7 (30%);SELECT_ONE_RADIO
82;1;urn:osse-11:dataelement:82:1;10 (35%);en;10 (35%);10 (35%);SELECT_ONE_RADIO
82;1;urn:osse-11:dataelement:82:1;12 (40%);en;12 (40%);12 (40%);SELECT_ONE_RADIO
82;1;urn:osse-11:dataelement:82:1;15 (60%);en;15 (60%);15 (60%);SELECT_ONE_RADIO
84;1;urn:osse-11:dataelement:84:1;Hepatic encephalopathy (cerebral failure);en;Hepatic encephalopathy (cerebral failure);Hepatic encephalopathy (cerebral failure);SELECT_MANY_CHECKBOX
84;1;urn:osse-11:dataelement:84:1;Respiratory failure;en;Respiratory failure;Respiratory failure;SELECT_MANY_CHECKBOX
84;1;urn:osse-11:dataelement:84:1;Other;en;Other;Other;SELECT_MANY_CHECKBOX
85;1;urn:osse-11:dataelement:85:1;Invasive;en;Invasive;Invasive;SELECT_ONE_RADIO
85;1;urn:osse-11:dataelement:85:1;Non-invasive (BiPAP / CPAP);en;Non-invasive (BiPAP / CPAP);Non-invasive (BiPAP / CPAP);SELECT_ONE_RADIO
89;1;urn:osse-11:dataelement:89:1;Yes;en;ACLF;ACLF;SELECT_ONE_RADIO
89;1;urn:osse-11:dataelement:89:1;No;en;no ACLF;no ACLF;SELECT_ONE_RADIO
90;1;urn:osse-11:dataelement:90:1;Grade 0;en;Grade 0;Grade 0;SELECT_ONE_RADIO
90;1;urn:osse-11:dataelement:90:1;Grade 1;en;Grade 1;Grade 1;SELECT_ONE_RADIO
90;1;urn:osse-11:dataelement:90:1;Grade 2;en;Grade 2;Grade 2;SELECT_ONE_RADIO
90;1;urn:osse-11:dataelement:90:1;Grade 3;en;Grade 3;Grade 3;SELECT_ONE_RADIO
92;1;urn:osse-11:dataelement:92:1;Male;en;Male;Male;SELECT_ONE_RADIO
92;1;urn:osse-11:dataelement:92:1;Female;en;Female;Female;SELECT_ONE_RADIO
93;1;urn:osse-11:dataelement:93:1;Yes;en;The patient smoked;The patient smoked;SELECT_ONE_RADIO
93;1;urn:osse-11:dataelement:93:1;No;en;The patient never smoked;The patient never smoked;SELECT_ONE_RADIO
94;1;urn:osse-11:dataelement:94:1;Current smoker;en;Current smoker;Current smoker;SELECT_MANY_CHECKBOX
94;1;urn:osse-11:dataelement:94:1;Former smoker;en;Former smoker;Former smoker;SELECT_MANY_CHECKBOX
99;1;urn:osse-11:dataelement:99:1;Yes;en;Had history of acute decompensation;Had history of acute decompensation;SELECT_ONE_RADIO
99;1;urn:osse-11:dataelement:99:1;No;en;No history of acute decompensation;No history of acute decompensation;SELECT_ONE_RADIO
99;1;urn:osse-11:dataelement:99:1;n.a.;en;Not available;Not available;SELECT_ONE_RADIO
101;1;urn:osse-11:dataelement:101:1;Ascites;en;Ascites;Ascites;SELECT_MANY_CHECKBOX
101;1;urn:osse-11:dataelement:101:1;Encephalopathy;en;Encephalopathy;Encephalopathy;SELECT_MANY_CHECKBOX
101;1;urn:osse-11:dataelement:101:1;Portal hypertension related bleeding;en;Portal hypertension related bleeding;Portal hypertension related bleeding;SELECT_MANY_CHECKBOX
101;1;urn:osse-11:dataelement:101:1;SBP;en;SBP;SBP;SELECT_MANY_CHECKBOX
101;1;urn:osse-11:dataelement:101:1;Other bacterial infection;en;Other bacterial infection;Other bacterial infection;SELECT_MANY_CHECKBOX
101;1;urn:osse-11:dataelement:101:1;n.a.;en;Not available;Not available;SELECT_MANY_CHECKBOX
102;1;urn:osse-11:dataelement:102:1;Yes;en;Listed for Liver transplantation;Listed for Liver transplantation;SELECT_ONE_RADIO
102;1;urn:osse-11:dataelement:102:1;No;en;Not listed for Liver transplantation;Not listed for Liver transplantation;SELECT_ONE_RADIO
104;1;urn:osse-11:dataelement:104:1;1. Alcohol;en;1. Alcohol;1. Alcohol;SELECT_MANY_CHECKBOX
104;1;urn:osse-11:dataelement:104:1;2. Hepatitis C virus;en;2. Hepatitis C virus;2. Hepatitis C virus;SELECT_MANY_CHECKBOX
104;1;urn:osse-11:dataelement:104:1;3. Hepatitis B virus;en;3. Hepatitis B virus;3. Hepatitis B virus;SELECT_MANY_CHECKBOX
104;1;urn:osse-11:dataelement:104:1;4. NAFLD/NASH;en;4. NAFLD/NASH;4. NAFLD/NASH;SELECT_MANY_CHECKBOX
104;1;urn:osse-11:dataelement:104:1;5. Cryptogenic;en;5. Cryptogenic;5. Cryptogenic;SELECT_MANY_CHECKBOX
104;1;urn:osse-11:dataelement:104:1;6. Others;en;6. Others;6. Others;SELECT_MANY_CHECKBOX
105;1;urn:osse-11:dataelement:105:1;Yes;en;Biopsy proved cirrhosis;Biopsy proved cirrhosis;SELECT_ONE_RADIO
105;1;urn:osse-11:dataelement:105:1;No;en;Not biopsy proved cirrhosis;Not biopsy proved cirrhosis;SELECT_ONE_RADIO
106;1;urn:osse-11:dataelement:106:1;Chronic obstructive pulmonary disease;en;Chronic obstructive pulmonary disease;Chronic obstructive pulmonary disease;SELECT_MANY_CHECKBOX
106;1;urn:osse-11:dataelement:106:1;Heart failure;en;Heart failure;Heart failure;SELECT_MANY_CHECKBOX
106;1;urn:osse-11:dataelement:106:1;Arterial hypertension;en;Arterial hypertension;Arterial hypertension;SELECT_MANY_CHECKBOX
106;1;urn:osse-11:dataelement:106:1;Coronary artery disease;en;Coronary artery disease;Coronary artery disease;SELECT_MANY_CHECKBOX
106;1;urn:osse-11:dataelement:106:1;Chronic renal failure;en;Chronic renal failure;Chronic renal failure;SELECT_MANY_CHECKBOX
106;1;urn:osse-11:dataelement:106:1;Cerebrovascular disease or other neurological disease;en;Cerebrovascular disease or other neurological disease;Cerebrovascular disease or other neurological disease;SELECT_MANY_CHECKBOX
106;1;urn:osse-11:dataelement:106:1;Diabetes mellitus requiring treatment;en;Diabetes mellitus requiring treatment;Diabetes mellitus requiring treatment;SELECT_MANY_CHECKBOX
106;1;urn:osse-11:dataelement:106:1;Other chronic systemic disease;en;Other chronic systemic disease;Other chronic systemic disease;SELECT_MANY_CHECKBOX
109;1;urn:osse-11:dataelement:109:1;Active drinker;en;Active drinker;more than 7 drinks per week in women and more than 14 drinks per week in men.;SELECT_ONE_RADIO
109;1;urn:osse-11:dataelement:109:1;Moderate drinker;en;Moderate drinker;Moderate drinker;SELECT_ONE_RADIO
109;1;urn:osse-11:dataelement:109:1;Patient teetotaler (abstinence);en;Patient teetotaler (abstinence);Patient teetotaler (abstinence);SELECT_ONE_RADIO
109;1;urn:osse-11:dataelement:109:1;Patient never drink;en;Patient never drink;Patient never drink;SELECT_ONE_RADIO
111;1;urn:osse-11:dataelement:111:1;Beer;en;Beer;Beer;SELECT_MANY_CHECKBOX
111;1;urn:osse-11:dataelement:111:1;Wine;en;Wine;Wine;SELECT_MANY_CHECKBOX
111;1;urn:osse-11:dataelement:111:1;Hard liquor;en;Hard liquor;Hard liquor;SELECT_MANY_CHECKBOX
112;1;urn:osse-11:dataelement:112:1;1. 14 days;en;1. 14 days;1. 14 days;SELECT_ONE_RADIO
112;1;urn:osse-11:dataelement:112:1;2. 3 months;en;2. 3 months;2. 3 months;SELECT_ONE_RADIO
112;1;urn:osse-11:dataelement:112:1;3. 2 years;en;3. 2 years;3. 2 years;SELECT_ONE_RADIO
113;1;urn:osse-11:dataelement:113:1;Yes;en;Had prior decompensation prior to hospital study admission;Had prior decompensation prior to hospital study admission;SELECT_ONE_RADIO
113;1;urn:osse-11:dataelement:113:1;No;en;No prior decompensation prior to hospital study admission;No prior decompensation prior to hospital study admission;SELECT_ONE_RADIO
114;1;urn:osse-11:dataelement:114:1;Yes;en;Ascites;Ascites;SELECT_ONE_RADIO
114;1;urn:osse-11:dataelement:114:1;No;en;No ascites;No ascites;SELECT_ONE_RADIO
114;1;urn:osse-11:dataelement:114:1;n.a.;de;Not available;Not available;SELECT_ONE_RADIO
115;1;urn:osse-11:dataelement:115:1;Yes;en;Had hepatic encephalopathy;Had hepatic encephalopathy;SELECT_ONE_RADIO
115;1;urn:osse-11:dataelement:115:1;No;en;No hepatic encephalopathy;No hepatic encephalopathy;SELECT_ONE_RADIO
115;1;urn:osse-11:dataelement:115:1;n.a.;en;Not available;Not available;SELECT_ONE_RADIO
