dataelement_id;dataelement_version;dataelement_urn;status;language;dataelement_designation;dataelement_definition;datatype;format;slots
156;1;urn:osse-11:dataelement:156:1;RELEASED;en;Positive response;Positive response for AIH;enumerated;enumerated;SELECT_ONE_RADIO
157;1;urn:osse-11:dataelement:157:1;RELEASED;en;Type of response;Type of response for AIH;enumerated;enumerated;SELECT_ONE_RADIO
158;1;urn:osse-11:dataelement:158:1;RELEASED;en;6. Other type of cirrhosis;6. Other type of cirrhosis treatment;enumerated;enumerated;SELECT_ONE_RADIO
159;1;urn:osse-11:dataelement:159:1;RELEASED;en;7. Continuous treatment;7. Continuous treatment;enumerated;enumerated;SELECT_ONE_RADIO
160;1;urn:osse-11:dataelement:160:1;RELEASED;en;Diuretics;Diuretics treatment;enumerated;enumerated;SELECT_ONE_RADIO
161;1;urn:osse-11:dataelement:161:1;RELEASED;en;Type of diuretic;Type of diuretic;enumerated;enumerated;SELECT_MANY_CHECKBOX
162;1;urn:osse-11:dataelement:162:1;RELEASED;en;2. Therapeutic paracentesis;2. Therapeutic paracentesis;enumerated;enumerated;SELECT_ONE_RADIO
163;1;urn:osse-11:dataelement:163:1;RELEASED;en;Beta-blockers;Beta-blockers;enumerated;enumerated;SELECT_ONE_RADIO
164;1;urn:osse-11:dataelement:164:1;RELEASED;en;Indication ;Indication for beta-blockers;enumerated;enumerated;SELECT_MANY_CHECKBOX
165;1;urn:osse-11:dataelement:165:1;RELEASED;en;Intravenous albumin;Intravenous albumin;enumerated;enumerated;SELECT_ONE_RADIO
166;1;urn:osse-11:dataelement:166:1;RELEASED;en;Indication;Indication for intravenous albumin;enumerated;enumerated;SELECT_MANY_CHECKBOX
167;1;urn:osse-11:dataelement:167:1;RELEASED;en;Vasopressors;Vasopressors;enumerated;enumerated;SELECT_ONE_RADIO
168;1;urn:osse-11:dataelement:168:1;RELEASED;en;Indication;Indication for vasopressors;enumerated;enumerated;SELECT_MANY_CHECKBOX
169;1;urn:osse-11:dataelement:169:1;RELEASED;en;6. Renal replacement treatment;6. Renal replacement treatment;enumerated;enumerated;SELECT_ONE_RADIO
