Form;form_id;form_type;record_urn;record_designation;record_mandatory;record_repeatable;dataelement_urn;dataelement_designation;dataelement_definition;dataelement_mandatory;dataelement_repeatable;data_type;data_format;unit;source_id;slots
Patient’s information and Medical history;225:2;Basic;urn:osse-11:record:22:1;Diagnosis of Cirrhosis;false;false;urn:osse-11:dataelement:99:1;History of acute decompensation;History of acute decompensation;;;enumerated;enumerated;;X_225_22_99;SELECT_ONE_RADIO
Patient’s information and Medical history;225:2;Basic;urn:osse-11:record:22:1;Diagnosis of Cirrhosis;false;false;urn:osse-11:dataelement:100:1;If AD-Date of first acute decompensation;If AD-Date of first acute decompensation;;;DATE;MM.YYYY;;X_225_22_100;
Patient’s information and Medical history;225:2;Basic;urn:osse-11:record:22:1;Diagnosis of Cirrhosis;false;false;urn:osse-11:dataelement:101:1;If AD-Types of prior acute decompensations;If AD-Types of prior acute decompensations;;;enumerated;enumerated;;X_225_22_101;SELECT_MANY_CHECKBOX
Patient’s information and Medical history;225:2;Basic;urn:osse-11:record:22:1;Diagnosis of Cirrhosis;false;false;urn:osse-11:dataelement:102:1;Listed for Liver transplantation;Listed for Liver transplantation;;;enumerated;enumerated;;X_225_22_102;SELECT_ONE_RADIO
Patient’s information and Medical history;225:2;Basic;urn:osse-11:record:22:1;Diagnosis of Cirrhosis;false;false;urn:osse-11:dataelement:103:1;If listed-listed liver transplantation date;If listed-listed liver transplantation date;;;DATE;DD.MM.YYYY;;X_225_22_103;
Patient’s information and Medical history;225:2;Basic;;;;;urn:osse-11:dataelement:104:1;Etiology of cirrhosis;Etiology of cirrhosis;true;false;enumerated;enumerated;;X_225_0_104;SELECT_MANY_CHECKBOX
Patient’s information and Medical history;225:2;Basic;;;;;urn:osse-11:dataelement:346:1;If other, please specify;Specify the other conditions;false;false;STRING;;;X_225_0_346;
Patient’s information and Medical history;225:2;Basic;;;;;urn:osse-11:dataelement:105:1;Biopsy proved cirrhosis;Biopsy proved cirrhosis;true;false;enumerated;enumerated;;X_225_0_105;SELECT_ONE_RADIO
Patient’s information and Medical history;225:2;Basic;urn:osse-11:record:23:1;Other previous /concomitant medical disease;false;false;urn:osse-11:dataelement:106:1;Other previous /concomitant medical disease;Other previous /concomitant medical disease;;;enumerated;enumerated;;X_225_23_106;SELECT_MANY_CHECKBOX
Patient’s information and Medical history;225:2;Basic;urn:osse-11:record:23:1;Other previous /concomitant medical disease;false;false;urn:osse-11:dataelement:107:1;Other chronic systemic disease Specification;Other chronic systemic disease Specification;;;STRING;;;X_225_23_107;
Previous clinical course;226:11;Basic;;;;;urn:osse-11:dataelement:112:1;Time prior to Hospital Study Admission;Time prior to Hospital Study Admission;true;false;enumerated;enumerated;;X_226_0_112;SELECT_ONE_RADIO
Previous clinical course;226:11;Basic;;;;;urn:osse-11:dataelement:109:1;Type of alcohol consumption;Type of alcohol consumption;false;false;enumerated;enumerated;;X_226_0_109;SELECT_ONE_RADIO
Previous clinical course;226:11;Basic;;;;;urn:osse-11:dataelement:355:1;Average number of drinks per week;Average number of drinks per week;false;false;INTEGER;0<=x<=20000;ml;X_226_0_355;
Previous clinical course;226:11;Basic;;;;;urn:osse-11:dataelement:111:1;Most common drink consumed;Most common drink consumed;false;false;enumerated;enumerated;;X_226_0_111;SELECT_MANY_CHECKBOX
Previous clinical course;226:11;Basic;;;;;urn:osse-11:dataelement:113:1;Any prior decompensation prior to hospital study admission ?;Any prior decompensation prior to hospital study admission ?;true;false;enumerated;enumerated;;X_226_0_113;SELECT_ONE_RADIO
Previous clinical course;226:11;Basic;urn:osse-11:record:25:1;Prior ascites;false;false;urn:osse-11:dataelement:114:1;1. Ascites;1. Ascites;;;enumerated;enumerated;;X_226_25_114;SELECT_ONE_RADIO
Previous clinical course;226:11;Basic;urn:osse-11:record:25:1;Prior ascites;false;false;urn:osse-11:dataelement:116:1;Number of hospitalizations for ascites episodes;Number of hospitalizations for ascites episodes;;;enumerated;enumerated;;X_226_25_116;SELECT_ONE_RADIO
Previous clinical course;226:11;Basic;urn:osse-11:record:25:1;Prior ascites;false;false;urn:osse-11:dataelement:117:1; Maximum grade of ascites; Maximum grade of ascites;;;enumerated;enumerated;;X_226_25_117;SELECT_ONE_RADIO
Previous clinical course;226:11;Basic;urn:osse-11:record:26:1;Prior hepatic encephalopathy;false;false;urn:osse-11:dataelement:115:1;2. Hepatic encephalopathy;2. Hepatic encephalopathy;;;enumerated;enumerated;;X_226_26_115;SELECT_ONE_RADIO
Previous clinical course;226:11;Basic;urn:osse-11:record:26:1;Prior hepatic encephalopathy;false;false;urn:osse-11:dataelement:118:1;Number of episodes requiring hospitalization;Number of episodes requiring hospitalization;;;enumerated;enumerated;;X_226_26_118;SELECT_ONE_RADIO
Previous clinical course;226:11;Basic;urn:osse-11:record:26:1;Prior hepatic encephalopathy;false;false;urn:osse-11:dataelement:119:1;Episodic overt HE;Episodic overt HE;;;enumerated;enumerated;;X_226_26_119;SELECT_ONE_RADIO
Previous clinical course;226:11;Basic;urn:osse-11:record:26:1;Prior hepatic encephalopathy;false;false;urn:osse-11:dataelement:120:1;Recurrent overt HE;Recurrent overt HE;;;enumerated;enumerated;;X_226_26_120;SELECT_ONE_RADIO
Previous clinical course;226:11;Basic;urn:osse-11:record:26:1;Prior hepatic encephalopathy;false;false;urn:osse-11:dataelement:121:1;Persistent overt HE;Persistent overt HE;;;enumerated;enumerated;;X_226_26_121;SELECT_ONE_RADIO
Previous clinical course;226:11;Basic;urn:osse-11:record:27:1;Prior gastrointestinal bleeding;false;false;urn:osse-11:dataelement:122:1;3. Gastrointestinal bleeding;3. Gastrointestinal bleeding;;;enumerated;enumerated;;X_226_27_122;SELECT_ONE_RADIO
Previous clinical course;226:11;Basic;urn:osse-11:record:27:1;Prior gastrointestinal bleeding;false;false;urn:osse-11:dataelement:118:1;Number of episodes requiring hospitalization;Number of episodes requiring hospitalization;;;enumerated;enumerated;;X_226_27_118;SELECT_ONE_RADIO
Previous clinical course;226:11;Basic;urn:osse-11:record:27:1;Prior gastrointestinal bleeding;false;false;urn:osse-11:dataelement:123:1;Known etiology of GIB;Known etiology of GIB;;;enumerated;enumerated;;X_226_27_123;SELECT_MANY_CHECKBOX
Previous clinical course;226:11;Basic;urn:osse-11:record:28:1;Prior bacterial infections;false;false;urn:osse-11:dataelement:124:1;4. Bacterial infections;4. Bacterial infections;;;enumerated;enumerated;;X_226_28_124;SELECT_ONE_RADIO
Previous clinical course;226:11;Basic;urn:osse-11:record:28:1;Prior bacterial infections;false;false;urn:osse-11:dataelement:118:1;Number of episodes requiring hospitalization;Number of episodes requiring hospitalization;;;enumerated;enumerated;;X_226_28_118;SELECT_ONE_RADIO
Previous clinical course;226:11;Basic;urn:osse-11:record:28:1;Prior bacterial infections;false;false;urn:osse-11:dataelement:125:1;Type of infection;Type of infection;;;enumerated;enumerated;;X_226_28_125;SELECT_MANY_CHECKBOX
Previous clinical course;226:11;Basic;urn:osse-11:record:29:1;Prior ACLF;false;false;urn:osse-11:dataelement:126:1;5. ACLF;5. ACLF;;;enumerated;enumerated;;X_226_29_126;SELECT_ONE_RADIO
Previous clinical course;226:11;Basic;urn:osse-11:record:29:1;Prior ACLF;false;false;urn:osse-11:dataelement:118:1;Number of episodes requiring hospitalization;Number of episodes requiring hospitalization;;;enumerated;enumerated;;X_226_29_118;SELECT_ONE_RADIO
Previous clinical course;226:11;Basic;urn:osse-11:record:29:1;Prior ACLF;false;false;urn:osse-11:dataelement:127:1;Highest ACLF grade;Highest ACLF grade;;;enumerated;enumerated;;X_226_29_127;SELECT_ONE_RADIO
Previous clinical course;226:11;Basic;urn:osse-11:record:29:1;Prior ACLF;false;false;urn:osse-11:dataelement:128:1;Any ACLF caused by a clinical event;Any ACLF caused by a clinical event;;;enumerated;enumerated;;X_226_29_128;SELECT_ONE_RADIO
Previous clinical course;226:11;Basic;urn:osse-11:record:29:1;Prior ACLF;false;false;urn:osse-11:dataelement:129:1;Clinical event related to;Clinical event related to;;;enumerated;enumerated;;X_226_29_129;SELECT_MANY_CHECKBOX
Previous clinical course;226:11;Basic;;;;;urn:osse-11:dataelement:130:1;6. Acute alcoholic-steatohepatitis (ASH);6. Acute alcoholic-steatohepatitis (ASH);false;false;enumerated;enumerated;;X_226_0_130;SELECT_ONE_RADIO
Previous clinical course;226:11;Basic;;;;;urn:osse-11:dataelement:131:1;7. Acute viral hepatitis superimposed to cirrhosis;7. Acute viral hepatitis superimposed to cirrhosis;false;false;enumerated;enumerated;;X_226_0_131;SELECT_ONE_RADIO
Previous clinical course;226:11;Basic;;;;;urn:osse-11:dataelement:132:1;8. Suspected drug-induced liver injury;8. Suspected drug-induced liver injury;false;false;enumerated;enumerated;;X_226_0_132;SELECT_ONE_RADIO
Previous clinical course;226:11;Basic;urn:osse-11:record:30:1;Prior HCC;false;false;urn:osse-11:dataelement:133:1;9. Hepatocellular carcinoma;9. Hepatocellular carcinoma;;;enumerated;enumerated;;X_226_30_133;SELECT_ONE_RADIO
Previous clinical course;226:11;Basic;urn:osse-11:record:30:1;Prior HCC;false;false;urn:osse-11:dataelement:134:1;Number of nodules of HCC;Number of nodules of HCC;;;INTEGER;0<=x<=10;;X_226_30_134;
Previous clinical course;226:11;Basic;urn:osse-11:record:30:1;Prior HCC;false;false;urn:osse-11:dataelement:135:1;Maximum size of nodules;Maximum size of nodules;;;INTEGER;0<=x<=100;mm;X_226_30_135;
Previous clinical course;226:11;Basic;urn:osse-11:record:30:1;Prior HCC;false;false;urn:osse-11:dataelement:136:1;Vascular invasion;Vascular invasion;;;enumerated;enumerated;;X_226_30_136;SELECT_ONE_RADIO
Previous clinical course;226:11;Basic;;;;;urn:osse-11:dataelement:137:1;Other relevant clinical events;Other relevant clinical events;false;false;STRING;;;X_226_0_137;
