PID;form_id;form_version;form_key;form_label;type;record_urn;dataelement_urn;source_id;mandatory;repeatable;position;resolution_status
198;227;3;227_3_Previous treatments;Previous treatments;record;urn:osse-11:record:33:1;urn:osse-11:dataelement:149:1;X_227_33_149;False;False;5;record_resolved
198;227;3;227_3_Previous treatments;Previous treatments;record;urn:osse-11:record:34:1;urn:osse-11:dataelement:150:1;X_227_34_150;False;False;6;record_resolved
198;227;3;227_3_Previous treatments;Previous treatments;record;urn:osse-11:record:34:1;urn:osse-11:dataelement:151:1;X_227_34_151;False;False;6;record_resolved
198;227;3;227_3_Previous treatments;Previous treatments;record;urn:osse-11:record:34:1;urn:osse-11:dataelement:152:1;X_227_34_152;False;False;6;record_resolved
198;227;3;227_3_Previous treatments;Previous treatments;record;urn:osse-11:record:34:1;urn:osse-11:dataelement:153:1;X_227_34_153;False;False;6;record_resolved
198;227;3;227_3_Previous treatments;Previous treatments;record;urn:osse-11:record:35:1;urn:osse-11:dataelement:154:1;X_227_35_154;False;False;7;record_resolved
198;227;3;227_3_Previous treatments;Previous treatments;record;urn:osse-11:record:35:1;urn:osse-11:dataelement:155:1;X_227_35_155;False;False;7;record_resolved
198;227;3;227_3_Previous treatments;Previous treatments;record;urn:osse-11:record:35:1;urn:osse-11:dataelement:156:1;X_227_35_156;False;False;7;record_resolved
198;227;3;227_3_Previous treatments;Previous treatments;record;urn:osse-11:record:35:1;urn:osse-11:dataelement:157:1;X_227_35_157;False;False;7;record_resolved
198;227;3;227_3_Previous treatments;Previous treatments;record;urn:osse-11:record:36:1;urn:osse-11:dataelement:160:1;X_227_36_160;False;False;11;record_resolved
198;227;3;227_3_Previous treatments;Previous treatments;record;urn:osse-11:record:36:1;urn:osse-11:dataelement:161:1;X_227_36_161;False;False;11;record_resolved
198;227;3;227_3_Previous treatments;Previous treatments;record;urn:osse-11:record:37:1;urn:osse-11:dataelement:163:1;X_227_37_163;False;False;13;record_resolved
198;227;3;227_3_Previous treatments;Previous treatments;record;urn:osse-11:record:37:1;urn:osse-11:dataelement:164:1;X_227_37_164;False;False;13;record_resolved
