source_id,dataelement_urn,denominator_n,numerator_n,metric,completeness_percent
X_233_0_296,urn:osse-11:dataelement:296:1,915,119,Least complete elements,13.01
X_231_0_278,urn:osse-11:dataelement:278:1,917,125,Least complete elements,13.63
X_222_0_50,urn:osse-11:dataelement:50:1,265,37,Least complete elements,13.96
X_233_0_361,urn:osse-11:dataelement:361:1,901,129,Least complete elements,14.32
X_233_0_362,urn:osse-11:dataelement:362:1,922,133,Least complete elements,14.43
X_232_0_359,urn:osse-11:dataelement:359:1,908,132,Least complete elements,14.54
X_232_0_358,urn:osse-11:dataelement:358:1,900,133,Least complete elements,14.78
X_224_20_72,urn:osse-11:dataelement:72:1,261,39,Least complete elements,14.94
X_225_22_97,urn:osse-11:dataelement:97:1,261,42,Least complete elements,16.09
X_232_0_286,urn:osse-11:dataelement:286:1,909,147,Least complete elements,16.17
X_232_0_287,urn:osse-11:dataelement:287:1,909,147,Least complete elements,16.17
X_232_0_288,urn:osse-11:dataelement:288:1,909,147,Least complete elements,16.17
X_233_0_360,urn:osse-11:dataelement:360:1,834,185,Least complete elements,22.18
X_225_0_346,urn:osse-11:dataelement:346:1,260,61,Least complete elements,23.46
X_228_47_202,urn:osse-11:dataelement:202:1,820,195,Least complete elements,23.78
X_233_0_363,urn:osse-11:dataelement:363:1,795,202,Least complete elements,25.41
X_226_0_355,urn:osse-11:dataelement:355:1,255,67,Least complete elements,26.27
X_235_0_322,urn:osse-11:dataelement:322:1,734,203,Least complete elements,27.66
X_228_47_199,urn:osse-11:dataelement:199:1,780,224,Least complete elements,28.72
X_231_0_275,urn:osse-11:dataelement:275:1,758,223,Least complete elements,29.42
X_225_23_107,urn:osse-11:dataelement:107:1,261,84,Least complete elements,32.18
X_228_0_346,urn:osse-11:dataelement:346:1,701,250,Least complete elements,35.66
X_226_0_111,urn:osse-11:dataelement:111:1,280,101,Least complete elements,36.07
X_235_69_347,urn:osse-11:dataelement:347:1,606,282,Least complete elements,46.53
X_225_21_96,urn:osse-11:dataelement:96:1,261,122,Least complete elements,46.74
X_225_21_95,urn:osse-11:dataelement:95:1,261,123,Least complete elements,47.13
X_231_0_347,urn:osse-11:dataelement:347:1,611,296,Least complete elements,48.45
X_225_21_94,urn:osse-11:dataelement:94:1,261,127,Least complete elements,48.66
X_231_0_268,urn:osse-11:dataelement:268:1,618,307,Least complete elements,49.68
X_235_0_88,urn:osse-11:dataelement:88:1,583,298,Least complete elements,51.11
X_231_0_260,urn:osse-11:dataelement:260:1,587,307,Least complete elements,52.3
X_235_66_335,urn:osse-11:dataelement:335:1,575,303,Least complete elements,52.7
X_224_20_86,urn:osse-11:dataelement:86:1,261,139,Least complete elements,53.26
X_235_66_73,urn:osse-11:dataelement:73:1,572,308,Least complete elements,53.85
X_231_0_262,urn:osse-11:dataelement:262:1,565,332,Least complete elements,58.76
X_223_2_19,urn:osse-11:dataelement:19:1,503,303,Least complete elements,60.24
X_235_0_329,urn:osse-11:dataelement:329:1,540,334,Least complete elements,61.85
X_235_0_328,urn:osse-11:dataelement:328:1,539,335,Least complete elements,62.15
X_223_2_14,urn:osse-11:dataelement:14:1,494,311,Least complete elements,62.96
X_234_0_299,urn:osse-11:dataelement:299:1,246,163,Least complete elements,66.26
X_231_0_273,urn:osse-11:dataelement:273:1,530,353,Least complete elements,66.6
X_235_66_71,urn:osse-11:dataelement:71:1,507,346,Least complete elements,68.24
X_231_0_277,urn:osse-11:dataelement:277:1,517,355,Least complete elements,68.67
X_224_0_245,urn:osse-11:dataelement:245:1,260,179,Least complete elements,68.85
X_224_0_266,urn:osse-11:dataelement:266:1,260,180,Least complete elements,69.23
X_224_0_88,urn:osse-11:dataelement:88:1,261,182,Least complete elements,69.73
X_231_0_276,urn:osse-11:dataelement:276:1,512,358,Least complete elements,69.92
X_231_0_253,urn:osse-11:dataelement:253:1,518,371,Least complete elements,71.62
X_225_23_106,urn:osse-11:dataelement:106:1,369,265,Least complete elements,71.82
X_235_64_167,urn:osse-11:dataelement:167:1,496,357,Least complete elements,71.98
X_224_0_91,urn:osse-11:dataelement:91:1,261,189,Least complete elements,72.41
X_230_0_237,urn:osse-11:dataelement:237:1,501,378,Least complete elements,75.45
X_226_28_125,urn:osse-11:dataelement:125:1,278,213,Least complete elements,76.62
X_225_22_98,urn:osse-11:dataelement:98:1,261,200,Least complete elements,76.63
X_226_29_129,urn:osse-11:dataelement:129:1,269,212,Least complete elements,78.81
X_226_27_123,urn:osse-11:dataelement:123:1,265,210,Least complete elements,79.25
X_230_0_240,urn:osse-11:dataelement:240:1,478,380,Least complete elements,79.5
X_235_60_240,urn:osse-11:dataelement:240:1,460,368,Least complete elements,80.0
X_230_0_75,urn:osse-11:dataelement:75:1,474,382,Least complete elements,80.59
X_229_52_216,urn:osse-11:dataelement:216:1,474,392,Least complete elements,82.7
X_225_21_93,urn:osse-11:dataelement:93:1,261,217,Least complete elements,83.14
X_233_39_168,urn:osse-11:dataelement:168:1,479,403,Least complete elements,84.13
X_229_51_213,urn:osse-11:dataelement:213:1,464,391,Least complete elements,84.27
X_233_34_152,urn:osse-11:dataelement:152:1,457,386,Least complete elements,84.46
X_228_0_203,urn:osse-11:dataelement:203:1,459,388,Least complete elements,84.53
X_229_52_217,urn:osse-11:dataelement:217:1,458,388,Least complete elements,84.72
X_229_54_229,urn:osse-11:dataelement:229:1,930,788,Least complete elements,84.73
X_233_45_190,urn:osse-11:dataelement:190:1,453,384,Least complete elements,84.77
X_231_0_267,urn:osse-11:dataelement:267:1,465,396,Least complete elements,85.16
X_233_33_147,urn:osse-11:dataelement:147:1,454,387,Least complete elements,85.24
X_229_54_230,urn:osse-11:dataelement:230:1,926,790,Least complete elements,85.31
X_233_43_184,urn:osse-11:dataelement:184:1,451,385,Least complete elements,85.37
X_224_20_73,urn:osse-11:dataelement:73:1,261,223,Least complete elements,85.44
X_229_54_228,urn:osse-11:dataelement:228:1,924,790,Least complete elements,85.5
X_233_41_179,urn:osse-11:dataelement:179:1,455,390,Least complete elements,85.71
X_228_0_109,urn:osse-11:dataelement:109:1,456,391,Least complete elements,85.75
X_233_32_142,urn:osse-11:dataelement:142:1,456,391,Least complete elements,85.75
X_229_51_210,urn:osse-11:dataelement:210:1,460,395,Least complete elements,85.87
X_235_69_117,urn:osse-11:dataelement:117:1,440,378,Least complete elements,85.91
X_235_69_323,urn:osse-11:dataelement:323:1,440,378,Least complete elements,85.91
X_233_55_291,urn:osse-11:dataelement:291:1,456,393,Least complete elements,86.18
X_230_0_73,urn:osse-11:dataelement:73:1,458,395,Least complete elements,86.24
X_229_52_218,urn:osse-11:dataelement:218:1,453,392,Least complete elements,86.53
X_229_53_136,urn:osse-11:dataelement:136:1,454,394,Least complete elements,86.78
X_233_35_157,urn:osse-11:dataelement:157:1,447,389,Least complete elements,87.02
X_233_35_155,urn:osse-11:dataelement:155:1,460,402,Least complete elements,87.39
X_233_34_151,urn:osse-11:dataelement:151:1,890,780,Least complete elements,87.64
X_230_0_350,urn:osse-11:dataelement:350:1,444,390,Least complete elements,87.84
X_229_0_225,urn:osse-11:dataelement:225:1,449,397,Least complete elements,88.42
X_235_60_326,urn:osse-11:dataelement:326:1,434,384,Least complete elements,88.48
X_235_66_326,urn:osse-11:dataelement:326:1,434,384,Least complete elements,88.48
X_224_20_75,urn:osse-11:dataelement:75:1,261,231,Least complete elements,88.51
X_235_64_334,urn:osse-11:dataelement:334:1,436,386,Least complete elements,88.53
X_235_64_69,urn:osse-11:dataelement:69:1,436,386,Least complete elements,88.53
X_233_0_194,urn:osse-11:dataelement:194:1,447,396,Least complete elements,88.59
