form;formid_version;form_type;record_urn;record_designation;record_mandatory;record_repeatable;dataelement_urn;dataelement_designation;dataelement_definition;dataelement_mandatory;dataelement_repeatable;data_type;data_format;unit_measure;id;form_id;form_version
Previous treatments;227:3;Basic;urn:osse-11:record:35:1;5. Autoimmune hepatitis treatment;false;false;urn:osse-11:dataelement:157:1;Type of response;Type of response for AIH;;;enumerated;enumerated;;120;227;3
Previous treatments;227:3;Basic;urn:osse-11:record:36:1;1. Diuretics;false;false;urn:osse-11:dataelement:160:1;Diuretics;Diuretics treatment;;;enumerated;enumerated;;123;227;3
Previous treatments;227:3;Basic;urn:osse-11:record:36:1;1. Diuretics;false;false;urn:osse-11:dataelement:161:1;Type of diuretic;Type of diuretic;;;enumerated;enumerated;;124;227;3
Previous treatments;227:3;Basic;urn:osse-11:record:37:1;3. Beta-blockers;false;false;urn:osse-11:dataelement:163:1;Beta-blockers;Beta-blockers;;;enumerated;enumerated;;126;227;3
Previous treatments;227:3;Basic;urn:osse-11:record:37:1;3. Beta-blockers;false;false;urn:osse-11:dataelement:164:1;Indication ;Indication for beta-blockers;;;enumerated;enumerated;;127;227;3
Previous treatments;227:3;Basic;urn:osse-11:record:38:1;4. Intravenous albumin;false;false;urn:osse-11:dataelement:165:1;Intravenous albumin;Intravenous albumin;;;enumerated;enumerated;;128;227;3
Previous treatments;227:3;Basic;urn:osse-11:record:38:1;4. Intravenous albumin;false;false;urn:osse-11:dataelement:166:1;Indication;Indication for intravenous albumin;;;enumerated;enumerated;;129;227;3
Previous treatments;227:3;Basic;urn:osse-11:record:39:1;5. Vasopressors;false;false;urn:osse-11:dataelement:167:1;Vasopressors;Vasopressors;;;enumerated;enumerated;;130;227;3
Previous treatments;227:3;Basic;urn:osse-11:record:39:1;5. Vasopressors;false;false;urn:osse-11:dataelement:168:1;Indication;Indication for vasopressors;;;enumerated;enumerated;;131;227;3
Previous treatments;227:3;Basic;urn:osse-11:record:40:1;12. TIPS;false;false;urn:osse-11:dataelement:175:1;TIPS;TIPS;;;enumerated;enumerated;;138;227;3
Previous treatments;227:3;Basic;urn:osse-11:record:40:1;12. TIPS;false;false;urn:osse-11:dataelement:176:1;Indication;Indication for TIPS;;;enumerated;enumerated;;139;227;3
Previous treatments;227:3;Basic;urn:osse-11:record:40:1;12. TIPS;false;false;urn:osse-11:dataelement:177:1;Other specification for TIPS indication;Other specification for TIPS indication;;;STRING;;;140;227;3
Previous treatments;227:3;Basic;urn:osse-11:record:41:1;13. Antibiotic prophylaxis;false;false;urn:osse-11:dataelement:178:1;Antibiotic prophylaxis;Antibiotic prophylaxis;;;enumerated;enumerated;;141;227;3
Previous treatments;227:3;Basic;urn:osse-11:record:41:1;13. Antibiotic prophylaxis;false;false;urn:osse-11:dataelement:179:1;Indication;Indication for antibiotic prophylaxis;;;enumerated;enumerated;;142;227;3
Previous treatments;227:3;Basic;urn:osse-11:record:42:1;15. Corticosteroids;false;false;urn:osse-11:dataelement:181:1;Corticosteroids;Corticosteroids;;;enumerated;enumerated;;144;227;3
Previous treatments;227:3;Basic;urn:osse-11:record:42:1;15. Corticosteroids;false;false;urn:osse-11:dataelement:182:1;Indication (other than autoimmune cirrhosis);Indication for Corticosteroids (other than autoimmune cirrhosis);;;STRING;;;145;227;3
Previous treatments;227:3;Basic;urn:osse-11:record:43:1;16. Treatments for HCC;false;false;urn:osse-11:dataelement:183:1;Treatments for HCC;Treatments for HCC;;;enumerated;enumerated;;146;227;3
Previous treatments;227:3;Basic;urn:osse-11:record:43:1;16. Treatments for HCC;false;false;urn:osse-11:dataelement:184:1;Type of treatments;Type of treatments for HCC;;;enumerated;enumerated;;147;227;3
Previous treatments;227:3;Basic;urn:osse-11:record:44:1;18. Oral antidiabetics;false;false;urn:osse-11:dataelement:186:1;Oral antidiabetics;Oral antidiabetics;;;enumerated;enumerated;;149;227;3
Previous treatments;227:3;Basic;urn:osse-11:record:44:1;18. Oral antidiabetics;false;false;urn:osse-11:dataelement:187:1;Metformin;Metformin for oral antidiabetics;;;enumerated;enumerated;;150;227;3
Previous treatments;227:3;Basic;urn:osse-11:record:45:1;20. Non-bariatric surgery;false;false;urn:osse-11:dataelement:189:1;Non-bariatric surgery;Non-bariatric surgery;;;enumerated;enumerated;;152;227;3
Previous treatments;227:3;Basic;urn:osse-11:record:45:1;20. Non-bariatric surgery;false;false;urn:osse-11:dataelement:190:1;Type of surgery;Type of surgery;;;enumerated;enumerated;;153;227;3
Data at visit;228:7;Longitudinal;urn:osse-11:record:47:1;Visit Date;false;false;urn:osse-11:dataelement:197:1;Visit Date;Visit Date;;;DATE;DD.MM.YYYY;;160;228;7
Data at visit;228:7;Longitudinal;urn:osse-11:record:47:1;Visit Date;false;false;urn:osse-11:dataelement:198:1;Is the patient already included in a prophylactic or therapeutic;Is the patient already included in a prophylactic or therapeutic;;;enumerated;enumerated;;161;228;7
Data at visit;228:7;Longitudinal;urn:osse-11:record:47:1;Visit Date;false;false;urn:osse-11:dataelement:199:1;Type of study;Type of study;;;enumerated;enumerated;;162;228;7
Data at visit;228:7;Longitudinal;urn:osse-11:record:47:1;Visit Date;false;false;urn:osse-11:dataelement:200:1;Study treatment specification;Study treatment specification;;;STRING;;;163;228;7
Data at visit;228:7;Longitudinal;urn:osse-11:record:47:1;Visit Date;false;false;urn:osse-11:dataelement:201:1;Control treatment specification;Control treatment specification;;;STRING;;;164;228;7
Data at visit;228:7;Longitudinal;urn:osse-11:record:47:1;Visit Date;false;false;urn:osse-11:dataelement:202:1;Does the patient continue in the study;Does the patient continue in the study;;;enumerated;enumerated;;165;228;7
Clinical features;229:3;Longitudinal;urn:osse-11:record:52:1;5. AKI (not caused by GIB);false;false;urn:osse-11:dataelement:215:1;AKI (not caused by GIB);AKI (not caused by GIB);;;enumerated;enumerated;;186;229;3
Clinical features;229:3;Longitudinal;urn:osse-11:record:52:1;5. AKI (not caused by GIB);false;false;urn:osse-11:dataelement:216:1;AKI caused by;AKI caused by;;;enumerated;enumerated;;187;229;3
Clinical features;229:3;Longitudinal;urn:osse-11:record:52:1;5. AKI (not caused by GIB);false;false;urn:osse-11:dataelement:217:1;Grade of AKI;Grade of AKI;;;enumerated;enumerated;;188;229;3
Clinical features;229:3;Longitudinal;urn:osse-11:record:52:1;5. AKI (not caused by GIB);false;false;urn:osse-11:dataelement:218:1;Type of AKI;Type of AKI;;;enumerated;enumerated;;189;229;3
